# chekhov-04 カメレオン（29段落）

## p001（5セグメント）
[0] 新しい外套を着て片手に包みを持った警察監督官オチュメーロフが、市場の広場を横切っていく。
[1] そのあとを、没収したスグリを縁までいっぱいに入れた篩を抱え、赤毛の巡査が歩いていく。
[2] あたりは静まり返っている……
[3] 広場には人ひとりいない……
[4] 開け放たれた商店や居酒屋の戸口が、飢えた口のように、この世の光をものうげに見つめている。そのそばには物乞いさえいない。

## p002（5セグメント）
[0] 「そうか、噛みつく気だな、この畜生？」という声が、不意にオチュメーロフの耳に入る。
[1] 「おい、みんな、逃がすな！
[2] 今は噛みついちゃいけないんだぞ！
[3] つかまえろ！
[4] あ……あっ！」

## p003（6セグメント）
[0] 犬の悲鳴が聞こえる。
[1] オチュメーロフがそちらを見ると、商人ピチューギンの材木置場から、一匹の犬が三本脚で跳ね、後ろを振り返りながら走ってくる。
[2] 糊のきいた更紗のシャツに、前をはだけたチョッキ姿の男が、そのあとを追ってくる。
[3] 男は犬を追って走り、上体を前へ突き出したまま地面に倒れこみ、犬の後ろ脚をつかむ。
[4] 犬の悲鳴がもう一度聞こえ、「逃がすな！」という叫び声が上がる。
[5] 商店から眠たげな顔が突き出され、ほどなく材木置場のそばに、まるで地面から生え出たように人だかりができる。

## p004（1セグメント）
[0] 「どうやら騒ぎのようです、旦那様！……」と巡査は言う。

## p005（6セグメント）
[0] オチュメーロフは左へ半回転し、人だかりへ歩いていく。
[1] 置場の門のすぐそばには、先ほどの、前をはだけたチョッキ姿の男が立ち、右手を高く上げ、血のにじんだ指を群衆に見せている。
[2] 半ば酔ったその顔には、「今におまえからふんだくってやるぞ、この悪党め！」とでも書いてあるようで、指そのものも勝利のしるしのように見える。
[3] オチュメーロフはこの男が金細工職人のフリューキンだと気づく。
[4] 群衆の真ん中では、この騒ぎの張本人——鼻面が尖り、背中に黄色い斑点のある、白いボルゾイの子犬——が、前脚を踏ん張り、全身を震わせて地面に座っている。
[5] 涙ぐんだその目には、悲しみと恐怖の色が浮かんでいる。

## p006（4セグメント）
[0] 「これはいったい何事だ？」とオチュメーロフは人垣に割って入りながら尋ねる。
[1] 「なぜここに集まっている？
[2] おまえ、その指はどうした？……
[3] 叫んだのは誰だ？」

## p007（7セグメント）
[0] 「私は歩いていたんです、旦那様、誰にも手出しせずに……」とフリューキンは拳に咳をしながら話しはじめる。
[1] 「薪のことで、ミートリイ・ミートリチと——するといきなり、この下劣なやつが、何のわけもなく指に……
[2] 失礼ながら、私は働く人間です……
[3] 私の仕事は細かいんです。
[4] 私には弁償してもらわなくちゃなりません、なにしろ——この指が一週間は動かせないかもしれませんから……
[5] 獣からこんな目に遭わされるなんて、旦那様、法律にだってありません……
[6] 誰もかれもが噛みつくようなら、この世では生きないほうがましです……」

## p008（13セグメント）
[0] 「ふむ！……よろしい……」とオチュメーロフは咳払いをし、眉を動かしながら厳しい声で言う。
[1] 「よろしい……
[2] 誰の犬だ？
[3] 私はこれをこのままにはしておかない。
[4] 犬を放しておくとはどういうことか、あなたたちに見せてやる！
