# chekhov-07 ヴァーニカ（23段落）

## p001（4セグメント）
[0] ヴァーニカ・ジューコフ、三か月前に靴屋のアリャーヒンのところへ奉公に出された九歳の少年は、クリスマスの前の晩、寝床につかなかった。
[1] 主人たちと職人たちが早課へ出かけてしまうのを待って、彼は主人の戸棚からインクの小瓶と、錆びたペン先のついたペン軸を取り出し、くしゃくしゃになった紙を一枚、目の前に広げて、書きはじめた。
[2] 最初の一字を書き出す前に、彼は何度もおびえたように戸と窓をふり返り、両側に木型をのせた棚の伸びている暗い聖像を横目で見て、とぎれとぎれに息をついた。
[3] 紙は腰掛けの上に置かれ、彼自身は腰掛けの前に膝をついていた。

## p002（5セグメント）
[0] 「なつかしいおじいさん、コンスタンチーン・マカールィチ！」
[1] と彼は書いた。
[2] 「それでおじいさんに手紙を書きます。
[3] クリスマスおめでとうございます、それから主なる神さまからのいっさいのものがおじいさんにあるよう願います。
[4] おれには父さんもおっかさんもいなくて、おじいさんだけが一人のこりました」

## p003（8セグメント）
[0] ヴァーニカは、自分の蝋燭の映りがちらついている暗い窓へ目を移し、ジヴァーレフ家で夜警をつとめている祖父のコンスタンチーン・マカールィチを、生き生きと思い浮かべた。
[1] 小柄で、やせっぽちだが、並はずれてすばしこく身の軽い、六十五ばかりの爺さんだ。顔はいつも笑っており、目は酔っている。
[2] 昼は使用人の台所で眠るか、料理女たちを相手に冗談を言っており、夜になると、ゆったりした羊皮の外套にくるまって、屋敷のまわりを歩き、自分の拍子木を打ち鳴らす。
[3] そのうしろを、頭を垂れて、年寄りのカシターンカと、雄の小犬ヴューンが歩く。ヴューンという名は、その黒い色と、いたちのように細長い胴のためについた。
[4] このヴューンは並はずれて恭しく、人なつこく、身内にも他人にも同じように優しい目を向けるが、信用はされていない。
[5] その恭しさと従順さの下には、きわめてイエズス会的な腹黒さが隠れている。
[6] 頃合いを見て忍び寄り、足に噛みつくこと、氷室にもぐりこむこと、百姓の鶏を盗むことでは、こいつにまさる者はいない。
[7] 後脚を何度も叩き折られ、二度ばかり首を吊られ、毎週半殺しになるまで打たれたが、そのたびに生き返った。

## p004（3セグメント）
[0] いま、祖父はきっと門のそばに立って、村の教会の明るい赤い窓に目を細め、フェルトの長靴で足を踏み鳴らしながら、屋敷の奉公人たちを相手に冗談を言っている。
[1] 拍子木は帯にくくりつけてある。
[2] 両手を打ち合わせ、寒さに身をすくめ、老人らしくくすくす笑いながら、女中をつねったり、料理女をつねったりする。

## p005（2セグメント）
[0] 「どうだね、ひとつ嗅ぎ煙草でもかぐかね？」
[1] と、女たちに自分の嗅ぎ煙草入れを差し出しながら彼は言う。

## p006（2セグメント）
[0] 女たちはかいで、くしゃみをする。
[1] 祖父は言いようのない喜びにわれを忘れ、陽気な笑い声をあげて叫ぶ。

## p007（1セグメント）
[0] 「引っぺがせ、凍りついたぞ！」

## p008（7セグメント）
[0] 犬たちにも嗅ぎ煙草をかがせる。
[1] カシターンカはくしゃみをし、鼻づらを振り、心外そうにわきへ離れていく。
[2] ヴューンのほうは恭しさからくしゃみをせず、尻尾を振る。
[3] それに天気はみごとだ。
[4] 空気は静かで、澄んで、爽やかだ。
[5] 夜は暗いが、白い屋根と、煙突から立ちのぼる細い煙の筋をもった村ぜんたいが見え、霜で銀色になった木々も、雪の山も見える。
[6] 空はいちめん、陽気に瞬く星をまき散らされ、天の川は、祭りの前に洗って雪でこすったかのように、はっきりと浮かび上がっている……

## p009（1セグメント）
[0] ヴァーニカは息をつき、ペンをインクに浸して、書きつづけた。

## p010（9セグメント）
[0] 「それからきのう、おれはひどくぶちのめされました。
[1] 主人がおれの髪をつかんで庭へひきずり出し、革ひもでひっぱたきました、主人のところの赤ん坊を揺りかごであやしていて、うっかり寝こんでしまったからです。
[2] それから先ごろ、おかみさんがニシンをおろせと言いつけて、おれが尾のほうからはじめたら、おかみさんはニシンをつかんで、その頭でおれの顔づらをつっつきだしました。
