# chekhov-09 学生（20段落）

## p001（6セグメント）
[0] はじめのうち天気はよく、静かだった。
[1] ツグミが鳴き、近くの沼地では何か生きたものが、空の瓶に息を吹きこむような音を立てて、もの悲しく低く唸っていた。
[2] ヤマシギが一羽飛び渡り、それを狙った銃声が春の空気のなかに、こだましながら陽気に響いた。
[3] だが森が暗くなると、折わるく東から冷たい、身を刺す風が吹きだして、何もかもが黙りこんだ。
[4] 水たまりには氷の針が張り、森のなかは居心地わるく、音もなく、人を寄せつけないものになった。
[5] 冬のにおいがした。

## p002（8セグメント）
[0] 神学大学の学生で堂守の息子のイヴァーン・ヴェリコポーリスキーは、シギ撃ちから家へ帰る道を、ずっと川水のさす草地の小道を歩いていた。
[1] 指はこわばり、顔は風で火照っていた。
[2] この突然おとずれた寒さが、あらゆるもののなかの秩序と調和を壊してしまった、自然そのものが怯えている、だから夕闇も必要より早く濃くなったのだ、と彼には思われた。
[3] まわりは荒涼として、どこか特別に陰気だった。
[4] 川のそばの寡婦の菜園にだけ火が光っていた。遠くのまわり一帯も、四ヴェルスタばかり先の村のあるあたりも、すべてが冷たい夕方の霧のなかに沈みきっていた。
[5] 学生は思い出した。家を出るとき、母は入口の土間の床に座って、裸足でサモワールを磨いていて、父はペチカの上に寝て咳をしていた。聖金曜日なので家では何も煮炊きせず、たまらなく物が食べたかった。
[6] そしていま、寒さに身をすぼめながら、学生はこう考えていた。これとまったく同じ風が、リューリクの世にも、イヴァン雷帝の世にも、ピョートルの世にも吹いていたのだ。その世々にもまったく同じ酷い貧しさ、飢えがあり、同じ穴のあいた藁屋根、無知、悲しみ、同じように荒涼としたまわり、暗さ、圧しつけられる思いがあったのだ。——こうした恐ろしいものはみな、あったし、あるし、これからもある。さらに千年が過ぎたところで、暮らしがよくなるわけではない。
[7] 彼は家に帰りたくなかった。

## p003（5セグメント）
[0] 菜園が寡婦の菜園と呼ばれていたのは、母と娘、二人の寡婦がそこを守っていたからだ。
