# chekhov-10 いとしい人（96段落）

## p001（3セグメント）
[0] 退職した八等官プレミャーンニコフの娘オーレンカは、うちの中庭の玄関の踏み段に腰かけて、考えこんでいた。
[1] 暑かった。蠅がしつこくまとわりついた。そして、もうすぐ夕方だと思うのは、なんとも心地よかった。
[2] 東からは黒い雨雲が迫ってきて、そちらから時おり湿った気が流れてきた。

## p002（1セグメント）
[0] 中庭の真ん中には、興行師で遊園〈ティヴォリ〉の持ち主のクーキンが立って、空を眺めていた。この同じ中庭の離れに間借りしている男である。

## p003（7セグメント）
[0] 「またか！」
[1] と彼は絶望したように言った。
[2] 「また雨になる！
[3] 毎日雨、毎日雨——わざとやっているみたいだ！
[4] これじゃ首吊りの縄だ！
[5] 破産だ！
[6] 毎日ものすごい損だ！」

## p004（1セグメント）
[0] 彼は両手を打ち合わせ、オーレンカに向かって続けた。

## p005（13セグメント）
[0] 「これがですね、オーリガ・セミョーノヴナ、私たちの暮らしなんです。
[1] 泣くしかありません！
[2] 働いて、骨を折って、苦しんで、夜も寝ないで、どうすればもっとよくなるかとばかり考えて——それでどうなります？
[3] 一方には客がいます。無知で、野蛮な客です。
[4] 私はいちばん上等なオペレッタを、妖精劇を、一流の流行歌うたいを出してやる。だが、客にそれが必要ですか？
[5] 客にそれが分かりますか？
[6] 客に必要なのは見世物小屋だ！
[7] 俗悪なものをよこせというんです！
[8] もう一方には、この天気を見てください。
[9] ほとんど毎晩雨だ。
[10] 五月十日から降りだしたら、そのまま五月も六月もずっとこれで、まったくひどい！
[11] 客は来ない。それでも私は借地料を払うんでしょう？
[12] 役者にも払うんでしょう？」

## p006（1セグメント）
[0] 翌日の夕方近く、また雲が迫ってきて、クーキンはひきつったような高笑いをして言った。

## p007（9セグメント）
[0] 「それで、なんだというんです？
[1] かまいません！
[2] 庭がぜんぶ流されようが、私自身が流されようが、かまいません！
[3] この世でもあの世でも、私に幸せなんぞあるものか！
[4] 役者どもが私を訴えればいい！
[5] 裁判がどうした？
[6] シベリアの徒刑でもけっこう！
[7] 処刑台でもけっこう！
[8] はっはっは！」

## p008（1セグメント）
[0] そして三日目も同じだった……

## p009（7セグメント）
[0] オーレンカはクーキンの話を黙って、真剣に聞いていて、ときには目に涙が浮かぶこともあった。
[1] とうとうクーキンの不幸に心を動かされて、彼女は彼を愛するようになった。
[2] 彼は背が低く、痩せて、黄色い顔をして、こめかみの毛をなでつけ、薄いテノールでしゃべり、しゃべるときには口をゆがめた。そして顔にはいつも絶望が書きつけられていた。それでもなお、彼は彼女のなかに本物の、深い感情をかき立てた。
[3] 彼女はいつも誰かを愛していて、それなしではいられなかった。
[4] 前にはおとうさんを愛していた。その父はいまでは病んで、暗い部屋の肘掛け椅子に座り、苦しそうに息をしていた。おばも愛していた。おばはときおり、二年に一度ブリャンスクからやってきた。それよりも前、プロギムナジウムに通っていたころは、フランス語の先生を愛していた。
[5] 彼女はもの静かで、人がよく、情に厚いお嬢さんで、おとなしくやわらかな目つきをしていて、体はたいへん丈夫だった。
[6] ふっくらとした薔薇色の頬、黒子のあるやわらかな白い首、なにか気持ちのよい話を聞いているときに顔に浮かぶ、善良で無邪気な笑みを見て、男たちは「うん、悪くない……」と思い、やはり微笑んだ。そして客の婦人たちは、話の途中でふいに彼女の手をつかんで、うれしさのあまりこう言わずにはいられなかった。

## p010（1セグメント）
[0] 「いとしい人！」

## p011（1セグメント）
[0] 彼女が生まれた日から住んでいて、遺言で彼女の名に書き記されていた家は、町のはずれのツィガーンスカヤ・スロボートカにあり、〈ティヴォリ〉園から遠くなかった。夕方や夜には、園で音楽が鳴り、花火がぱんと弾けるのが彼女に聞こえて、これはクーキンが自分の運命と戦い、いちばんの敵——冷淡な客に攻めかかっているのだと思われた。胸は甘くしめつけられ、眠る気はまるでしなくなり、明け方近くに彼が家へ帰ってくると、彼女は寝室から小窓をそっと叩いて、カーテンごしに顔と肩だけを見せながら、やさしく微笑んだ……

## p012（2セグメント）
[0] 彼は結婚を申しこみ、二人は式を挙げた。
[1] そして彼女の首と、ふっくらした健やかな肩をちゃんと見たとき、彼は両手を打ち合わせてこう言った。

## p013（1セグメント）
[0] 「いとしい人！」

## p014（1セグメント）
[0] 彼は幸せだったが、婚礼の日も、そのあとの夜も雨が降ったので、顔から絶望の表情が消えることはなかった。

## p015（3セグメント）
[0] 婚礼のあと、暮らしはよかった。
[1] 彼女は夫の切符売り場に座り、園のなかの取り締まりに目を配り、支出を書きつけ、給金を渡した。そして薔薇色の頬と、かわいらしく無邪気な、光を放つような笑みとが、切符売り場の小窓に、舞台裏に、売店にと、あちこちにのぞいた。
[2] そして彼女はもう、知り合いにこう言うようになっていた。世のなかでいちばんすばらしく、いちばん大事で必要なものは劇場だ、本当の楽しみを得て、教養のある人間になり、人間らしい心を持つようになれるのは劇場だけだ、と。

## p016（5セグメント）
[0] 「でも、客にそれが分かるでしょうか？」
[1] と彼女は言った。
[2] 「客に必要なのは見世物小屋なんです！
[3] きのうはうちで『裏返しのファウスト』をやったのに、桟敷はほとんど空でした。それがもし、あたしとヴァーニチカがなにか俗悪なものをかけたら、ほんとうに、劇場は身動きもできないほど詰まったでしょう。
[4] あしたはあたしとヴァーニチカで『地獄のオルフェウス』をかけます。いらしてください」

## p017（2セグメント）
[0] そしてクーキンが劇場や役者について言うことを、彼女もそのままくり返した。
[1] 客のことは、彼と同じように、芸術への冷淡さと無知のゆえに軽蔑し、稽古では口を出し、役者を直し、楽隊の者の行いに目を光らせ、地元の新聞が劇場を悪く書けば、泣いて、それから新聞社へ掛け合いに行った。

## p018（1セグメント）
[0] 役者たちは彼女を好いていて、「あたしとヴァーニチカ」とも「いとしい人」とも呼んだ。彼女は役者たちを気の毒がって、少しずつ金を貸してやり、だまされることがあっても、ただこっそり泣くだけで、夫には言いつけなかった。

## p019（4セグメント）
[0] 冬もまた暮らしはよかった。
[1] 町の劇場を冬のあいだ通しで借りて、それを小ロシアの一座に、手品師に、地元の素人連に、短い期間ずつ貸した。
[2] オーレンカは肉づきがよくなり、満足で全身が輝いていたが、クーキンは痩せて黄色くなり、ものすごい損だとこぼしていた。冬のあいだ商売は悪くなかったのに。
[3] 夜になると彼は咳をし、彼女は木苺と菩提樹の花を煎じて飲ませ、オーデコロンで体をこすり、自分のやわらかなショールで包んだ。

## p020（3セグメント）
[0] 「あたしの人はなんてかわいらしいんでしょう！」
[1] と彼女は彼の髪をなでつけながら、心からそう言った。
[2] 「あたしの人はなんてきれいなんでしょう！」

## p021（5セグメント）
[0] 大斎のころ彼は一座を集めるためモスクワへ立ち、彼女は彼がいないと眠ることができず、ずっと窓辺に座って星を眺めていた。
[1] そしてそのあいだ、彼女は自分を雌鶏にたとえていた。雌鶏も、鶏小屋に雄鶏がいないと、一晩じゅう眠らず、落ち着かなくなるのだ。
[2] クーキンはモスクワで手間どり、復活祭までには帰ると書いてよこし、手紙のなかではもう〈ティヴォリ〉についての指図を始めていた。
[3] ところが受難週の月曜になる前の晩、遅くなってから、門を叩く不吉な音がふいに響いた。誰かがくぐり戸を、樽でも叩くように叩いていた。どん！どん！どん！
[4] 寝ぼけた料理女が、裸足で水たまりをぺたぺた踏んで、開けに走った。

## p022（3セグメント）
[0] 「あけてくださいまし、お願いします！」
[1] と門の外で誰かがくぐもった低い声で言った。
[2] 「電報ですよ！」

## p023（2セグメント）
[0] オーレンカはそれまでにも夫から電報を受け取ったことがあったが、このときはなぜかはっと立ちすくんだ。
[1] 震える手で電報を開いて、次のように読んだ。

## p024（1セグメント）
[0] 「イヴァーン・ペトローヴィチ ホンジツ キュウニ シキョ スューチャラ シジ マツ ソオギ カヨウ」

## p025（1セグメント）
[0] 電報にはたしかに「ソオギ」とそのまま刷られていて、もう一つ「スューチャラ」という意味の分からない語もあった。署名はオペレッタ一座の演出家のものだった。

## p026（6セグメント）
[0] 「あたしのかわいい人！」
[1] とオーレンカは声をあげて泣きだした。
[2] 「あたしの大事なヴァーニチカ、あたしのかわいい人！
[3] どうしてあたしはおまえと出会ったんだろう？
[4] どうしておまえを知って、好きになったんだろう？
[5] おまえはかわいそうなオーレンカを、かわいそうな、ふしあわせなオーレンカを、誰に残して行ってしまったの？……」

## p027（1セグメント）
[0] クーキンは火曜日にモスクワのヴァガーニコヴォに葬られた。オーレンカは水曜日に帰って、家に入るなり寝床に倒れこみ、通りにも隣の中庭にも聞こえるほど大きな声で泣きだした。

## p028（3セグメント）
[0] 「いとしい人！」
[1] と近所の女たちが十字を切りながら言った。
[2] 「いとしい人のオーリガ・セミョーノヴナ、おかわいそうに、あんなに身も世もなく泣いて！」

## p029（3セグメント）
[0] 三か月ほどたったある日、オーレンカは礼拝から帰ってくるところだった。悲しげで、深い喪服を着ていた。
[1] たまたま、同じく教会から帰る近所の人の一人、ヴァシーリイ・アンドレーイチ・プストヴァーロフが並んで歩いていた。商人ババカーエフの材木置場の支配人だった。
[2] 麦わら帽をかぶり、金の鎖のついた白いベストを着ていて、商人よりは地主のように見えた。

## p030（1セグメント）
[0] 「なにごとにもそれぞれの順序というものがあります、オーリガ・セミョーノヴナ」と、彼は重々しく、声に同情をこめて言った。「近しい者の誰かが死ぬとすれば、それは神さまの思召しということです。そういうときは、自分を忘れずに、従う心で耐えなければなりません」

## p031（6セグメント）
[0] オーレンカをくぐり戸まで送ってから、彼は暇を告げて先へ歩いて行った。
[1] そのあと一日じゅう、彼女の耳には彼の重々しい声が聞こえ、目を閉じるとすぐ、彼の黒い顎ひげが浮かんだ。
[2] 彼女は彼がすっかり気に入った。
[3] そして、どうやら彼女のほうも彼に印象を与えたらしかった。というのも、しばらくして、あまり親しくもない年配の婦人が一人、コーヒーを飲みに彼女のところへやってきて、食卓につくとすぐさまプストヴァーロフのことを話しだしたのである。あの人はよい、しっかりした人で、どんな娘でも喜んで嫁に行くだろうと。
